Act	Reg	Batch	Balancing	AUC_valid	AUC_test
relu	None	None	True	0.7721728886865104	0.7841526370256581
relu	None	None	False	0.7804086908328263	0.7882962800012263
relu	None	128	True	0.7739960048125725	0.7851028432963877
relu	None	128	False	0.7817049227639086	0.7873174883110491
relu	0.01	None	True	0.7723247121354463	0.7845517454091403
relu	0.01	None	False	0.7804015380091401	0.7883448027150348
relu	0.01	128	True	0.7739908455531053	0.7851106110734115
relu	0.01	128	False	0.7822172602950151	0.7891579336138848
sigmoid	None	None	True	0.7129105591343682	0.7370559835082844
sigmoid	None	None	False	0.752583817395204	0.7726335933363659
sigmoid	None	128	True	0.7152752318056219	0.7398247299506424
sigmoid	None	128	False	0.7544018604063685	0.7738209757322217
sigmoid	0.01	None	True	0.7129105666661338	0.7370560870786447
sigmoid	0.01	None	False	0.7525838098634383	0.7726335933363658
sigmoid	0.01	128	True	0.7152752511057715	0.7398247817358226
sigmoid	0.01	128	False	0.7543994201142995	0.7738189561101955
